id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
3123,270166272,14,MORATALAZ           ,1406,VINATEROS           ,11102974,1,353500,CALLE                   ,HACIENDA DE PAVONES                               ,NUM,191,28030,44581355,447272746,1,Puerta Calle,1,Abierto,10,,PB,07,,,BAR BLAZQUEZ CERVECERIA,1,Anual,1,Abierta,486,162,28/10/2015,11102974,1,353500,CALLE                   ,HACIENDA DE PAVONES                               ,NUM,191,  ,Otros,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,11:00:00 p. m.,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,11:00:00 p. m.,0,0,15,10,60,  
3124,170001309,17,VILLAVERDE          ,1704,LOS ROSALES         ,20061170,1,88909056,CALLE                   ,COALICION                                         ,NUM,29,28041,44159554,44675775,1,Puerta Calle,1,Abierto,10,,PB,01,,,CAFETERIA VENECIA,2,Estacional,1,Abierta,3488,,28/10/2015,20061170,1,88909056,CALLE                   ,COALICION                                         ,NUM,29,  ,Superficie en parcela privada,10:00:00 a. m.,12:00:00 a. m.,,,10:00:00 a. m.,12:00:00 a. m.,,,0,,10,,38,  
3125,280072202,15,CIUDAD LINEAL       ,1502,PUEBLO NUEVO        ,11108012,1,398700,CALLE                   ,JOSE ARCONES GIL                                  ,NUM,11,28017,44582457,447640846,1,Puerta Calle,1,Abierto,50,,PB,D,,,UNIVERSO KEBAB,2,Estacional,1,Abierta,3132,,03/11/2015,11108012,1,398700,CALLE                   ,JOSE ARCONES GIL                                  ,NUM,11,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,,,10:00:00 a. m.,02:30:00 a. m.,,,0,,8,,32,  
3127,280073641,15,CIUDAD LINEAL       ,1504,CONCEPCION          ,20122213,1,1930,CALLE                   ,VIRGEN DE LA PAZ                                  ,NUM,1,28027,44405458,447589549,1,Puerta Calle,1,Abierto,10,,PB,03,,,RESTAURANTE CHINO PALACIO IMPERIAL,2,Estacional,1,Abierta,315,4212,03/11/2015,20083505,1,88909488,CALLE                   ,ALCALA                                            ,NUM,251,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,01:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,13,13,52,  
3130,110003236,11,CARABANCHEL         ,1102,OPAÑEL              ,11070374,1,549100,AVENIDA                 ,OPORTO                                            ,NUM,84,28019,43818359,447092854,1,Puerta Calle,1,Abierto,20,,PB,03,,,LA VENTURITA,2,Estacional,1,Abierta,8141,5856,05/11/2015,11070374,1,549100,AVENIDA                 ,OPORTO                                            ,NUM,84,  ,Acera,10:00:00 a. m.,12:00:00 a. m.,06:00:00 p. m.,12:00:00 a. m.,10:00:00 a. m.,12:30:00 a. m.,06:00:00 p. m.,12:00:00 a. m.,1,1,23,23,76,  
3131,270438304,11,CARABANCHEL         ,1102,OPAÑEL              ,11070811,1,624800,CALLE                   ,RADIO                                             ,NUM,28,28019,43869359,447152854,1,Puerta Calle,1,Abierto,20,,PB,02,,,BAR ALTOZANO,1,Anual,1,Abierta,8106,8106,05/11/2015,11070811,1,624800,CALLE                   ,RADIO                                             ,NUM,28,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,1,1,22,22,80,  
3132,280009793,1,CENTRO              ,104,JUSTICIA            ,11004753,1,344000,CALLE                   ,GRAVINA                                           ,NUM,27,28004,44095759,447490152,1,Puerta Calle,1,Abierto,10,,PB,IZ,,,ESPACIO NUEVO AZUL,1,Anual,1,Abierta,9,9,06/11/2015,11004753,1,344000,CALLE                   ,GRAVINA                                           ,NUM,27,  ,Acera,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,11:00:00 p. m.,10:00:00 a. m.,01:30:00 a. m.,10:00:00 a. m.,11:00:00 p. m.,0,0,3,3,10,  
3133,270367979,1,CENTRO              ,106,SOL                 ,11007637,1,111100,CALLE                   ,BOLSA                                             ,NUM,3,28012,44021059,447404153,1,Puerta Calle,1,Abierto,30,,PB,03,,,CASA ORLANDO,2,Estacional,1,Abierta,1224,,06/11/2015,11007637,1,111100,CALLE                   ,BOLSA                                             ,NUM,3,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,,,10:00:00 a. m.,02:30:00 a. m.,,,0,,6,,18,  
3134,280072487,15,CIUDAD LINEAL       ,1503,QUINTANA            ,11109195,1,358300,CALLE                   ,HERMANOS DE PABLO                                 ,NUM,1,28027,44532557,447627947,1,Puerta Calle,1,Abierto,50,,PB,09,,,AJI LIMON,1,Anual,1,Abierta,432,432,10/11/2015,11109195,1,358300,CALLE                   ,HERMANOS DE PABLO                                 ,NUM,1,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,3,3,6,  
3135,270053061,1,CENTRO              ,106,SOL                 ,11007687,1,743600,CALLE                   ,TOLEDO                                            ,NUM,7,28005,43996959,447403753,1,Puerta Calle,1,Abierto,20,,PB,DR,,,DORO'S BRISTRO,1,Anual,1,Abierta,500,500,11/11/2015,11007687,1,743600,CALLE                   ,TOLEDO                                            ,NUM,7,  ,Calle peatonal,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,10,10,25,  
3137,270134297,9,MONCLOA-ARAVACA     ,902,ARGUELLES           ,11052287,1,610000,CALLE                   ,PRINCESA                                          ,NUM,5,28008,4394896,447518254,1,Puerta Calle,1,Abierto,30,,PB,13A,,,VIPS Y GINOS PRINCESA,1,Anual,1,Abierta,6358,6358,11/11/2015,11052287,1,610000,CALLE                   ,PRINCESA                                          ,NUM,5,  ,Calle peatonal,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,22,22,44,  
3138,30000554,3,RETIRO              ,304,IBIZA               ,11012435,1,370400,CALLE                   ,IBIZA                                             ,NUM,25,28009,44269458,44744125,1,Puerta Calle,1,Abierto,10,,PB,,,,TXIRIMIRI,1,Anual,1,Abierta,3522,3522,13/11/2015,11012435,1,370400,CALLE                   ,IBIZA                                             ,NUM,25,  ,Bulevar,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,13,13,52,  
3139,270477122,8,FUENCARRAL-EL PARDO ,804,EL PILAR            ,11046460,1,601800,CALLE                   ,PONFERRADA                                        ,NUM,21,28029,43959462,448073056,1,Puerta Calle,1,Abierto,30,,PB,03,,,DE TAPAS,1,Anual,1,Abierta,936,598,13/11/2015,11046460,1,601800,CALLE                   ,PONFERRADA                                        ,NUM,21,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,21,15,84,  
3140,270034584,8,FUENCARRAL-EL PARDO ,804,EL PILAR            ,11046515,1,704100,CALLE                   ,SARRIA                                            ,NUM,48,28029,43949162,448080656,1,Puerta Calle,1,Abierto,30,,PB,05,,,JYM RACIONES Y TAPAS CASERAS,1,Anual,1,Abierta,2592,2592,13/11/2015,11046515,1,704100,CALLE                   ,SARRIA                                            ,NUM,48,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,8,8,32,  
3142,40000751,4,SALAMANCA           ,405,LISTA               ,11018987,1,238100,CALLE                   ,DIEGO DE LEON                                     ,NUM,57,28006,44261858,447623251,1,Puerta Calle,1,Abierto,70,,PB,,,,TABEL'LA,1,Anual,1,Abierta,216,216,17/11/2015,11018987,1,238100,CALLE                   ,DIEGO DE LEON                                     ,NUM,57,  ,Acera,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,17,11,39,  
3143,60002172,6,TETUAN              ,601,BELLAS VISTAS       ,11028827,1,114600,CALLE                   ,BRAVO MURILLO                                     ,NUM,151,28020,44034261,447807554,1,Puerta Calle,1,Abierto,20,,PB,,,,DUNKIN COFFEE,1,Anual,1,Abierta,72,72,19/11/2015,11028827,1,114600,CALLE                   ,BRAVO MURILLO                                     ,NUM,151,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,3,3,6,  
3146,280010004,1,CENTRO              ,104,JUSTICIA            ,11005033,1,365400,CALLE                   ,HORTALEZA                                         ,NUM,118,28004,44089459,447528152,1,Puerta Calle,1,Abierto,20,,PB,DR,,,RISTORANTE,1,Anual,1,Abierta,3027,3027,23/11/2015,11005033,1,365400,CALLE                   ,HORTALEZA                                         ,NUM,118,  ,Plaza peatonal,09:00:00 a. m.,11:30:00 p. m.,09:00:00 a. m.,11:00:00 p. m.,09:00:00 a. m.,12:30:00 a. m.,09:00:00 a. m.,11:00:00 p. m.,0,0,11,8,35,  
3147,280010205,1,CENTRO              ,104,JUSTICIA            ,11005302,1,313100,CALLE                   ,FUENCARRAL                                        ,NUM,104,28004,44045459,447553153,1,Puerta Calle,4,Cerrado,10,,PB,02,,,GARNIER,1,Anual,1,Abierta,288,288,23/11/2015,11005302,1,313100,CALLE                   ,FUENCARRAL                                        ,NUM,104,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,2,2,4,  
3148,280009965,1,CENTRO              ,104,JUSTICIA            ,11004609,1,767100,CALLE                   ,VALGAME DIOS                                      ,NUM,8,28004,44091259,447489852,1,Puerta Calle,1,Abierto,10,,PB,01,,,LOLA & CO,1,Anual,1,Abierta,112,112,23/11/2015,11004609,1,767100,CALLE                   ,VALGAME DIOS                                      ,NUM,8,  ,Calle peatonal,10:00:00 a. m.,11:00:00 p. m.,10:00:00 a. m.,10:00:00 p. m.,10:00:00 a. m.,12:30:00 a. m.,10:00:00 a. m.,10:00:00 p. m.,0,0,5,5,14,  
3149,270451058,20,SAN BLAS-CANILLEJAS ,2005,ROSAS               ,20105290,1,2442,CALLE                   ,SUECIA                                            ,NUM,19,28022,44849055,447488942,1,Puerta Calle,1,Abierto,20,,PB,01,,,THE OLD RAVEN TATTOO,2,Estacional,1,Abierta,3468,,24/11/2015,20105290,1,2442,CALLE                   ,SUECIA                                            ,NUM,19,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,,,10:00:00 a. m.,02:00:00 a. m.,,,0,,11,,44,  
