prov_insc,cant_insc,parr_insc,anio_insc,mes_insc,mes_reg,dia_insc,fecha_insc,hijos_rec,mcap_bie,nac_1,cod_pais1,sexo_1,anio_nac1,mes_nac1,dia_nac1,fecha_nac1,edad_1,nmatant1,est_civi1,p_etnica1,niv_inst1,sabe_leer1,prov_hab1,cant_hab1,parr_hab1,area_1,nac_2,cod_pais2,sexo_2,anio_nac2,mes_nac2,dia_nac2,fecha_nac2,edad_2,nmatant2,est_civi2,p_etnica2,niv_inst2,sabe_leer2,prov_hab2,cant_hab2,parr_hab2,area_2
9,901,90110,2020,9,septiembre,23,9/23/2020,99,2,1,218,1,1967,12,18,12/18/1967,52,1,2,6,4,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,901,90110,2020,9,septiembre,25,9/25/2020,0,2,1,218,1,1962,1,27,1/27/1962,58,1,2,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,906,90601,2020,8,agosto,28,8/28/2020,0,2,1,218,1,1978,8,29,8/29/1978,41,1,2,6,8,0,9,906,90601,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,906,90601,1
17,1705,170501,2020,12,diciembre,5,12/05/2020,1,2,1,218,1,1980,10,8,10/08/1980,40,1,2,6,8,0,17,1705,170501,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,17,1705,170501,1
9,901,90112,2020,8,agosto,31,8/31/2020,0,2,1,218,1,1968,9,20,9/20/1968,51,1,2,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90112,2020,9,septiembre,11,09/11/2020,0,2,1,218,1,1960,8,1,08/01/1960,60,1,2,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90112,2020,9,septiembre,30,9/30/2020,0,2,1,218,1,1968,1,15,1/15/1968,52,1,3,6,4,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90110,2020,12,diciembre,17,12/17/2020,0,1,1,218,1,1964,10,29,10/29/1964,56,1,2,9,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,901,90112,2020,11,noviembre,23,11/23/2020,0,9,1,218,1,1962,12,8,12/08/1962,57,1,2,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90112,2020,11,noviembre,26,11/26/2020,0,2,1,218,1,1978,6,24,6/24/1978,42,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90112,2020,11,noviembre,25,11/25/2020,1,2,1,218,1,1958,3,26,3/26/1958,62,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90110,2020,12,diciembre,28,12/28/2020,99,2,1,218,2,1977,12,26,12/26/1977,43,1,2,6,8,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,7,9,0,9,901,90110,1
9,901,90112,2020,12,diciembre,18,12/18/2020,0,2,1,218,1,1990,12,21,12/21/1990,29,1,3,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,8,0,9,901,90112,1
