fecha;consumo_kWh
1/1/2018;935
1/1/2018;1675
1/1/2018;1905
1/1/2018;2860,1
1/1/2018;707
1/1/2018;1359
1/1/2018;2182
1/1/2018;2637
1/1/2018;3870
1/1/2018;936,36
1/1/2018;100
1/1/2018;188
1/1/2018;192
1/1/2018;2943
1/1/2018;2682
1/1/2018;1005
1/1/2018;2575
1/1/2018;3275
1/1/2018;1553
1/1/2018;151
1/1/2018;2291
1/1/2018;1612
1/1/2018;2271
1/1/2018;2270
1/1/2018;2202
1/1/2018;3038
1/1/2018;1039
1/1/2018;1700
1/1/2018;1298
1/1/2018;2073
1/1/2018;2981
1/1/2018;2365
1/1/2018;849
1/1/2018;1893
1/1/2018;2678
1/1/2018;1717
1/1/2018;1816
1/1/2018;0
1/1/2018;2584
1/1/2018;4005
1/1/2018;462
1/1/2018;1896
1/1/2018;1590
1/1/2018;1397
1/1/2018;1241
1/1/2018;4643
1/1/2018;1371
1/1/2018;1388
1/1/2018;1160
1/1/2018;1936
1/1/2018;0
1/1/2018;0
1/1/2018;473
1/1/2018;860
1/1/2018;1292
1/1/2018;2609
1/1/2018;1784
1/1/2018;3055
1/1/2018;4069
1/1/2018;2712
1/1/2018;675
1/1/2018;1211
1/1/2018;1392
1/1/2018;1348
1/1/2018;1345
1/1/2018;1391
1/1/2018;5622,9
1/1/2018;1116
1/1/2018;1436
1/1/2018;1168
1/1/2018;941
1/1/2018;4228
1/1/2018;1904
1/1/2018;1258
1/1/2018;1185
1/1/2018;1447
1/1/2018;3908
1/1/2018;1557
1/1/2018;3036
1/1/2018;3735,34
1/1/2018;3874,99
1/1/2018;3960,16
1/1/2018;3408,1
1/1/2018;777
1/1/2018;3147
1/1/2018;1856
1/1/2018;2740
1/1/2018;5583
1/1/2018;1620
1/1/2018;1108
1/1/2018;265
1/1/2018;2229
1/1/2018;10037
1/1/2018;1598
1/1/2018;1682
1/1/2018;1813
1/1/2018;6152
1/1/2018;2635
1/1/2018;1342
1/1/2018;1209
1/1/2018;613
1/1/2018;1214
1/1/2018;1746
1/1/2018;1643
1/1/2018;692
1/1/2018;2913
1/1/2018;1623
1/1/2018;2193
1/1/2018;5679
1/1/2018;1494
1/1/2018;0
1/1/2018;1792
1/1/2018;3121
1/1/2018;0
1/1/2018;1495
1/1/2018;2638
1/1/2018;995
1/1/2018;1307
1/1/2018;4540,33
1/1/2018;1751
1/1/2018;1391
1/1/2018;3924,69
1/1/2018;2675
1/1/2018;2668
1/1/2018;1729
1/1/2018;412
1/1/2018;3114,3
1/1/2018;1277
1/1/2018;156
1/1/2018;168
1/1/2018;101
1/1/2018;114
1/1/2018;2193
1/1/2018;969
1/1/2018;1626
1/1/2018;183
1/1/2018;4318,6
1/1/2018;236
1/1/2018;2572
1/1/2018;2251
1/1/2018;1374
1/1/2018;2248
1/1/2018;2465
1/1/2018;9931
1/1/2018;0
1/1/2018;2522
1/1/2018;1539
1/1/2018;3069,9
1/1/2018;0
1/1/2018;3253
1/1/2018;2878
1/1/2018;508
1/1/2018;2644
1/1/2018;2920
1/1/2018;1651
1/1/2018;2330
1/1/2018;1200
1/1/2018;6276
1/1/2018;988
1/1/2018;2293
1/1/2018;2853
1/1/2018;1433
1/1/2018;1918,62
1/1/2018;2170
1/1/2018;101
1/1/2018;0
1/1/2018;1681
1/1/2018;4000
1/1/2018;4265,5
1/1/2018;3289
1/1/2018;0
1/1/2018;72
1/1/2018;4658,95
1/1/2018;3199
1/1/2018;3371,5
1/1/2018;1700
1/1/2018;239
1/1/2018;1239
1/1/2018;1522
1/1/2018;4682,6
1/1/2018;6562,38
1/1/2018;3163
1/1/2018;3807
1/1/2018;1890
1/1/2018;837
1/1/2018;1143
1/1/2018;7277,2
1/1/2018;6221,8
1/1/2018;3271
1/1/2018;2106
1/1/2018;3114
1/1/2018;1208
1/1/2018;2461
1/1/2018;2616
1/1/2018;3857
1/1/2018;3036
1/1/2018;1379
1/1/2018;465
1/1/2018;1881
1/1/2018;1137
1/1/2018;1162
1/1/2018;1436
1/1/2018;1561
1/1/2018;3180
1/1/2018;1066
1/1/2018;587
1/1/2018;431
1/1/2018;610
1/1/2018;3542
1/1/2018;8680
1/1/2018;2718
1/1/2018;2687
1/1/2018;6760
1/1/2018;1950
1/1/2018;850
1/1/2018;132
1/1/2018;709
1/1/2018;3532
1/1/2018;2424
1/1/2018;441
1/1/2018;4212
1/1/2018;2390
1/1/2018;1739
1/1/2018;2413
1/1/2018;1158
1/1/2018;948
1/1/2018;1913
1/1/2018;2842
1/1/2018;872
1/1/2018;2329
1/1/2018;2708
1/1/2018;1341
1/1/2018;2463
1/1/2018;1781
1/1/2018;965
1/1/2018;2719
1/1/2018;1420
1/1/2018;910
1/1/2018;1724
1/1/2018;1503
1/1/2018;19
1/1/2018;2698
1/1/2018;1539
1/1/2018;1035
1/1/2018;2423
1/1/2018;772
1/1/2018;2566
1/1/2018;1387
1/1/2018;0
1/1/2018;6443
1/1/2018;433
1/1/2018;986
1/1/2018;852
1/1/2018;1126
1/1/2018;175
1/1/2018;1374
1/1/2018;1589
1/1/2018;1527
1/1/2018;617
1/1/2018;404
1/1/2018;1319
1/1/2018;1637
1/1/2018;1327
1/1/2018;0
1/1/2018;0
1/1/2018;0
1/1/2018;2272
1/1/2018;763
1/1/2018;2299
1/1/2018;1149
1/1/2018;1730
1/1/2018;1411
1/1/2018;3048
1/1/2018;4021
1/1/2018;1736
1/1/2018;9835
1/1/2018;1190
1/1/2018;275482
1/1/2018;1487
1/1/2018;801
1/1/2018;1587
1/1/2018;2332
1/1/2018;1608
1/1/2018;3028
1/1/2018;3204
1/1/2018;2134
1/1/2018;2864
1/1/2018;1414
1/1/2018;1640
1/1/2018;1945
1/1/2018;2626
1/1/2018;1908
1/1/2018;1678
1/1/2018;2408
1/1/2018;2032
1/1/2018;2215
1/1/2018;4092
1/1/2018;1478
1/1/2018;739
